product_id,title,price,category,product_url
40,Крейдові Дощечки С Дерев’яною Підставкою З Ясеню,220.0,Багаторазове меню,https://www.wood-wam.in.ua/product/velyka-krejdyana-doshka-na-derevyanij-pidstavczi-1015-sm/
41,Крейдовий 2-стороній штендер,2500.0,Набірне меню,https://www.wood-wam.in.ua/product/krejdyanyj-shtender-dvostoronnij/
42,Коробка для чайових,260.0,Різне,https://www.wood-wam.in.ua/product/korobka-dlya-chajovyh/
43,Коробка з дерева,680.0,Органайзери,https://www.wood-wam.in.ua/product/korobka-z-dereva-2/
44,Набір наліпок 3 шт ( чорні / білі ),150.0,Наліпки,https://www.wood-wam.in.ua/product/nabir-nalipok-3-sht-chorni-bili/
45,Набірне меню 100*42 см,2400.0,Набірне меню,https://www.wood-wam.in.ua/product/nabirne-menyu-10042-sm/
46,Набірне меню для Вашого закладу,1850.0,Набірне меню,https://www.wood-wam.in.ua/product/nabirne-menyu-dlya-vashogo-zakladu/
47,Набір Цінників Для Кав’ярні Або Магазину ( на прищіпці ),360.0,Інформаційні таблички,https://www.wood-wam.in.ua/product/nabir-czinnykiv-dlya-kavyarni-abo-magazynu-na-pryshhipczi/
48,Набір цінників для кав’ярні або магазину,360.0,Інформаційні таблички,https://www.wood-wam.in.ua/product/nabir-czinnykiv-dlya-kavyarni-abo-magazynu/
49,Набір для приготування матчі з трьох товарів,990.0,Професійні інструменти бариста,https://www.wood-wam.in.ua/product/nabir-dlya-prygotuvannya-matchi-z-troh-tovariv/
50,Набір Hario V60,920.0,Професійні інструменти бариста,https://www.wood-wam.in.ua/product/nabir-hario-v60/
51,"Меню-холдер із дерева, розмір 220*160 мм",240.0,Багаторазове меню,https://www.wood-wam.in.ua/product/menyu-holder-iz-dereva-rozmir-220160-mm/
52,Меню стандарт (чорне+фон),220.0,Набірне меню,https://www.wood-wam.in.ua/product/menyu-standart-chorne-fon/
53,Мікрофільтри паперові AeroPress 350шт,289.0,Професійні інструменти бариста,https://www.wood-wam.in.ua/product/mikrofiltry-paperovi-aeropress-350sht/
54,"Меню-холдер із ламінованого дерева, розмір А4, чорний",490.0,Багаторазове меню,https://www.wood-wam.in.ua/product/menyu-holder-iz-laminovanogo-dereva-rozmir-a4-chornyj/
55,Меню стандарт (біле),2253.0,Набірне меню,https://www.wood-wam.in.ua/product/menyu-standart-bile/
56,Меню стандарт (чорне),220.0,Набірне меню,https://www.wood-wam.in.ua/product/menyu-standart-chorne/
57,Меню для кав’ярні на акрилі,3200.0,Набірне меню,https://www.wood-wam.in.ua/product/menyu-dlya-kavyarni-na-akryli/
58,Меню (реклама) у дубовій рамці,750.0,Набірне меню,https://www.wood-wam.in.ua/product/menyu-reklama-u-dubovij-ramczi/
59,Настільне дерев’яне рулонне меню,680.0,Багаторазове меню,https://www.wood-wam.in.ua/product/nastilne-derevyane-rulonne-menyu/
60,"Набірне меню настінне дерев’яне з рожевими рейками для кав’ярні та бару 13 позицій, ширина 80 см",2800.0,Набірне меню,https://www.wood-wam.in.ua/product/nabirne-menyu-nastinne-derevyane-z-rozhevymy-rejkamy-dlya-kavyarni-ta-baru-13-pozyczij-shyryna-80-sm/
61,Набірне меню на рейках настінне для кав’ярні та бару STANDART із дерева,2600.0,Набірне меню,https://www.wood-wam.in.ua/product/nabirne-menyu-na-rejkah-nastinne-dlya-kavyarni-ta-baru-standart-iz-dereva/
62,Наліпка ( “Pet friendly” / “No smoking” / “WI-FI”),35.0,Наліпки,https://www.wood-wam.in.ua/product/naklejka-pet-friendly/
63,"Набірне меню, багаторазове меню",3200.0,Набірне меню,https://www.wood-wam.in.ua/product/nabirne-menyu-bagatorazove-menyu-2/
64,Набірне меню на рейках настінне для кав’ярні та бару STANDART чорне дерево,5200.0,Набірне меню,https://www.wood-wam.in.ua/product/nabirne-menyu-na-rejkah-nastinne-dlya-kavyarni-ta-baru-standart-chorne-derevo/
65,Наклейка “Графік роботи” А4,350.0,Наліпки,https://www.wood-wam.in.ua/product/naklejka-grafyk-roboty-a4/
66,Набірне меню на рейках для кав’ярні та бару STANDART на замовлення в різних варіаціях,1200.0,Набірне меню,https://www.wood-wam.in.ua/product/nabirne-menyu-na-rejkah-dlya-kavyarni-ta-baru-standart-na-zamovlennya-v-riznyh-variacziyah/
67,Кондитерська Вітрина З Ламінованої Фанери ( Чорна/Біла),4200.0,"Стелажі, полички, тумби та вітрини",https://www.wood-wam.in.ua/product/kondyterska-vitryna-z-dereva-chorna/
68,Килимок кутовий VD Coffee Big,350.0,Професійні інструменти бариста,https://www.wood-wam.in.ua/product/kylymok-kutovyj-vd-coffee-big/
69,Килимок кутовий VD Small,230.0,Професійні інструменти бариста,https://www.wood-wam.in.ua/product/kylymok-kutovyj-vd-small/
70,Кондитерська вітрина з дерева,3900.0,"Стелажі, полички, тумби та вітрини",https://www.wood-wam.in.ua/product/kondyterska-vitryna-z-dereva/
71,Інформаційна наліпка велика,550.0,Наліпки,https://www.wood-wam.in.ua/product/informaczijna-nalipka-velyka/
72,Інтерактивне колесо смаків та ароматів кави діаграма на полотні А1,650.0,Інформаційні таблички,https://www.wood-wam.in.ua/product/interaktyvne-koleso-smakiv-ta-aromativ-kavy-diagrama-na-polotni-a1-2/
73,"Інформаційні таблички з друком на акрилі. Підставка з натурального ясеню, покрита маслом.",480.0,QR-коди,https://www.wood-wam.in.ua/product/informaczijni-tablychky-z-drukom-na-akryli-pidstavka-z-naturalnogo-yasenyu-pokryta-maslom/
74,Зажим для рахунку офіціанта,320.0,Органайзери,https://www.wood-wam.in.ua/product/zazhym-dlya-rahunku-oficzianta/
75,Підставка під планшет,550.0,Органайзери,https://www.wood-wam.in.ua/product/pidstavka-pid-planshet-chorna/
76,"Підставка для пончиків, донатів",380.0,Органайзери,https://www.wood-wam.in.ua/product/pidstavka-dlya-ponchykiv-donativ/
77,Підставка для типсів 33х15х22 см,480.0,Без категорії,https://www.wood-wam.in.ua/product/pidstavka-dlya-typsiv-33h15h22-sm/
78,Підставка під ноутбук ( Біла / Чорна ),450.0,Органайзери,https://www.wood-wam.in.ua/product/pidstavka-pid-noutbuk/
79,Підставка з дерева для макаронів та кондитерських виробів,450.0,Органайзери,https://www.wood-wam.in.ua/product/malenka-pidstavka-z-dereva-dlya-makaroniv-dlya-kondyterskyh-vyrobiv/
80,Підлоговий Нок Бокс,3700.0,Професійні інструменти бариста,https://www.wood-wam.in.ua/product/pidlogovyj-nok-boks/
81,Паперові фільтри Melitta 40шт,135.0,Професійні інструменти бариста,https://www.wood-wam.in.ua/product/paperovi-filtry-melitta-40sht/
82,Табличка “Вибачте буду через 5 хвилин” на підставці,420.0,Інформаційні таблички,https://www.wood-wam.in.ua/product/tablychka-vybachte-budu-cherez-5-hvylyn-na-pidstavczi/
83,Табличка “вибачте буду через 5 хвилин”,150.0,Інформаційні таблички,https://www.wood-wam.in.ua/product/tablychka-vybachte-budu-cherez-5-hvylyn/
84,Стелажі на замовлення,3000.0,"Стелажі, полички, тумби та вітрини",https://www.wood-wam.in.ua/product/stelazhy-pod-zakaz-2/
85,Сувенір Home💙💛,320.0,Різне,https://www.wood-wam.in.ua/product/suvenir-home%f0%9f%92%99%f0%9f%92%9b/
86,Стелаж для магазину великий,2100.0,"Стелажі, полички, тумби та вітрини",https://www.wood-wam.in.ua/product/stelazh-dlya-magazynu-velykyj/
87,Стелаж для магазину з  нахиленими полицями,3500.0,"Стелажі, полички, тумби та вітрини",https://www.wood-wam.in.ua/product/stelazh-dlya-magazynu-z-nahylenymy-polyczyamy-2/
88,Сліпе сито,100.0,Професійні інструменти бариста,https://www.wood-wam.in.ua/product/slipe-syto/
89,"Сертифікат-відзнака про проходження навчання розмір 105х148, підставка мармурова",580.0,Інформаційні таблички,https://www.wood-wam.in.ua/product/sertyfikat-vidznaka-pro-prohodzhennya-navchannya-rozmir-105h148-pidstavka-marmurova/
90,"Чайник звичайний для пуровера з нержавійки 1,2 л",1250.0,Професійні інструменти бариста,https://www.wood-wam.in.ua/product/chajnyk-zvychajnyj-dlya-purovera-z-nerzhavijky-12-l/
91,Розрівнювач VD Coffee Standart,990.0,Професійні інструменти бариста,https://www.wood-wam.in.ua/product/rozrivnyuvach-vd-coffee-standart/
92,Чай Матча (Маття) Органічна 50 Г,230.0,Професійні інструменти бариста,https://www.wood-wam.in.ua/product/chaj-matcha-mattya-organichna-50-g/
93,Футболка з написом “Пий каву люби вір в ЗСУ”,550.0,Футболки з брендуванням,https://www.wood-wam.in.ua/product/futbolka-z-napysom-pyj-kavu-lyuby-vir-v-zsu/
94,Футболка з брендуванням,380.0,Без категорії,https://www.wood-wam.in.ua/product/futbolka-z-brenduvannyam/
95,Фільтри паперові Hario V60 02 Paper Filters 100шт,300.0,Професійні інструменти бариста,https://www.wood-wam.in.ua/product/filtry-paperovi-hario-v60-02-paper-filters-100sht/
96,Табличка WC велика,290.0,Інформаційні таблички,https://www.wood-wam.in.ua/product/tablychka-wc-velyka/
97,Фільтри Chemex,520.0,Професійні інструменти бариста,https://www.wood-wam.in.ua/product/filtry-chemex/
98,Табличка WC / Службове приміщення,360.0,Інформаційні таблички,https://www.wood-wam.in.ua/product/tablychka-wc-sluzhbove-prymishhennya/
99,Табличка “Резерв” маленька,280.0,Інформаційні таблички,https://www.wood-wam.in.ua/product/tablychka-rezerv-malenka/
100,Тумба для самообслуговування клієнта,6400.0,"Стелажі, полички, тумби та вітрини",https://www.wood-wam.in.ua/product/tumba-dlya-samoobslugovuvannya-kliyenta/
101,Табличка WC середня,250.0,Інформаційні таблички,https://www.wood-wam.in.ua/product/tablychka-wc-serednya/
102,Табличка “Резерв” велика,340.0,Інформаційні таблички,https://www.wood-wam.in.ua/product/tablychka-rezerv-velyka/
103,Табличка WC маленька,220.0,Інформаційні таблички,https://www.wood-wam.in.ua/product/tablychka-wc-malenka/
104,Табличка “Не курити” на скотчі,90.0,Інформаційні таблички,https://www.wood-wam.in.ua/product/tablychka-ne-kuryty-na-skotchi/
105,Щітка для чистки груп VD Coffee,110.0,Професійні інструменти бариста,https://www.wood-wam.in.ua/product/shhitka-dlya-chystky-grup-vd-coffee/
106,"Таблички на замовлення з акрилу, композиту, дерева",350.0,Інформаційні таблички,https://www.wood-wam.in.ua/product/tablychky-na-zamovlennya-z-akrylu-kompozytu-dereva-6/
107,Штендер металевий «Мо-морозиво?»,3800.0,Різне,https://www.wood-wam.in.ua/product/shtender-metalevyj-mo-morozyvo/
108,Табличка “Не курити” на дерев’яній ніжці,150.0,Інформаційні таблички,https://www.wood-wam.in.ua/product/tablychka-ne-kuryty-na-derevyanij-nizhczi/
109,"Таблички на замовлення з акрилу, композиту, дерева",420.0,Інформаційні таблички,https://www.wood-wam.in.ua/product/tablychky-na-zamovlennya-z-akrylu-kompozytu-dereva-5/
110,Таблички відкрито/закрито з графіком роботи ( Чорна / Біла ),450.0,Інформаційні таблички,https://www.wood-wam.in.ua/product/tablychky-vidkryto-zakryto-z-grafikom-roboty/
111,Табличка інформаційна (QR) з золотою / срібною рамкою 30*40см,950.0,QR-коди,https://www.wood-wam.in.ua/product/tablychka-informaczijna-qr-z-zolotoyu-sribnoyu-ramkoyu-3040sm/
112,Табличка з QR-кодом за Вашим дизайном,600.0,QR-коди,https://www.wood-wam.in.ua/product/tablychka-z-qr-kodom-za-vashym-dyzajnom/
113,Табличка для вулиці з ефектом віддзеркалення,1800.0,Різне,https://www.wood-wam.in.ua/product/tablychka-dlya-vulyczi-z-efektom-viddzerkalennya/
114,Табличка Відкрито/Зкрито з акрилу,150.0,Інформаційні таблички,https://www.wood-wam.in.ua/product/tablychka-vidkryte-zkryte-z-akrylu/
115,"Професійний Засіб Для Чищення Молочної Системи Кавомашини Optimal-Pro 0,5 Л",110.0,Професійні інструменти бариста,https://www.wood-wam.in.ua/product/profesijnyj-zasib-dlya-chyshhennya-molochnoyi-systemy-kavomashyny-optimal-pro-05-l/
116,Пуш-розрівнювач темпер VD Coffee,1390.0,Професійні інструменти бариста,https://www.wood-wam.in.ua/product/push-rozrivnyuvach-temper-vd-coffee/
117,"Професійний Засіб Для Чищення Кавомашин Від Кавових Масел Optimal-Pro 0,5 Л",110.0,Професійні інструменти бариста,https://www.wood-wam.in.ua/product/profesijnyj-zasib-dlya-chyshhennya-kavomashyn-vid-kavovyh-masel-optimal-pro-05-l/
